| Edible | Polypore | Convex | Bellshaped | Flat | Depressed | CupFungi | CoralFungi | Knobbed | Conical | JellyFungi | Stinkhorns | Earthstars | Bolete | ToothFungi | Shellshaped | Funnelshaped | Puffballs | Corticioid | Chanterelles | Cylindrical | Truffles | FalseMorels | TrueMorels | Cauliflower | Smooth | Fibrous | FlatScales | Patches | Silky | RaisedScales | Hairy | Powder | Velvety | R    | G    | B    |
| 2      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 1          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 1     | 0      | 0       | 146  | 85   | 85   |
| 1      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 1          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 1       | -255 | -255 | -255 |
| 1      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 1           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 0          | 1       | 0     | 0            | 0     | 0      | 0       | 82   | 21   | 21   |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 82   | 21   | 21   |
| 2      | 0        | 1      | 0          | 0    | 1         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 2      | 0        | 1      | 1          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 0    | 0    | 255  |
| 1      | 0        | 1      | 1          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 1     | 0      | 0       | 0    | 0    | 255  |
| 2      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 0    |
| 1      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 1       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 1          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 1       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 255  |
| 1      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 1       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 1       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 64   | 64   | 191  |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 210  | 21   | 21   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 237  | 183  | 73   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 1     | 0            | 0     | 0      | 0       | 210  | 148  | 21   |
| 2      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 1     | 0            | 0     | 0      | 0       | 237  | 56   | 73   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 1     | 0            | 0     | 0      | 0       | 255  | 127  | 0    |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 0    |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 173  | 120  | 137  |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 237  | 183  | 73   |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 0          | 0       | 0     | 0            | 1     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 192  | 77   | 94   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 210  | 0    |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 210  | 148  | 21   |
| 0      | 0        | 1      | 0          | 0    | 1         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 210  | 148  | 21   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 127  |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 210  | 103  | 21   |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 1       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 0    |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 192  | 203  |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 0          | 1       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 1     | 0      | 0       | 255  | 255  | 0    |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 0          | 0       | 0     | 0            | 1     | 0      | 0       | 255  | 165  | 0    |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 0          | 1       | 0     | 0            | 0     | 0      | 0       | 210  | 148  | 21   |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 191  | 191  | 191  |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 1      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 1     | 0            | 0     | 0      | 1       | 255  | 255  | 0    |
| 1      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 1          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 0    |
| 1      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 1            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 1     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 2      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 1           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 1       | 210  | 148  | 21   |
| 1      | 0        | 0      | 0          | 0    | 0         | 1        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 191  | 191  | 64   |
| 2      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 1          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 1       | 0    | 0    | 255  |
| 2      | 0        | 0      | 0          | 0    | 0         | 0        | 1          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 1     | 0      | 0       | 146  | 85   | 85   |
| 2      | 0        | 0      | 0          | 0    | 0         | 0        | 1          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 128  | 128  | 128  |
| 2      | 0        | 0      | 0          | 0    | 0         | 0        | 1          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 1     | 0      | 0       | 165  | 42   | 42   |
| 1      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 1          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 1     | 0      | 1       | 82   | 21   | 21   |
| 1      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 1            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 1     | 0      | 1       | 191  | 191  | 191  |
| 2      | 1        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 1           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 1       | 128  | 128  | 128  |
| 0      | 1        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 1           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 128  | 128  | 128  |
| 1      | 1        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 1           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 1     | 0      | 0       | 191  | 191  | 191  |
| 1      | 1        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 1           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 1       | 165  | 42   | 42   |
| 1      | 1        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 1           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 219  | 112  | 147  |
| 1      | 1        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 1       | 255  | 255  | 255  |
| 2      | 1        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 1     | 0      | 0       | 165  | 42   | 42   |
| 0      | 1        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 1       | 128  | 128  | 128  |
| 0      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 1          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 0    |
| 2      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 1          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 192  | 203  |
| 0      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 1          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 1           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 192  | 77   | 94   |
| 0      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 1          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 255  |
| 0      | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 1          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 0    |
| 2      | 1        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 1           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 1       | 128  | 0    | 128  |
| 1      | 1        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 1           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 1       | 164  | 145  | 164  |
| -1     | 0        | 0      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 165  | 0    |
| 2      | 0        | 0      | 0          | 0    | 0         | 0        | 1          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 1       | 0    | 0    | 0    |
| 2      | 0        | 0      | 0          | 0    | 0         | 0        | 1          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 0    | 0    | 0    |
| 2      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 0    |
| 2      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 255  |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 1       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 146  | 85   | 85   |
| 2      | 0        | 1      | 1          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 1       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 210  | 148  | 21   |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 128  | 128  | 128  |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 1          | 1       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 146  | 85   | 85   |
| 2      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 0    |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 0          | 1       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 1      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 2      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 1       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 237  | 183  | 201  |
| 0      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 1       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 255  | 255  | 255  |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 1       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 128  | 128  | 128  |
| 2      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 173  | 120  | 137  |
| 0      | 0        | 1      | 0          | 0    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 64   | 64   | 64   |
| 1      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 173  | 120  | 137  |
| 2      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 1       | 1          | 0       | 0     | 0            | 0     | 0      | 0       | 128  | 128  | 128  |
| 2      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 0      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 128  | 128  | 128  |
| 1      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 0       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
| 1      | 0        | 1      | 0          | 1    | 0         | 0        | 0          | 0       | 0       | 0          | 0          | 0          | 0      | 0          | 0           | 0            | 0         | 0          | 0            | 0           | 0        | 0           | 0          | 0           | 1      | 1       | 0          | 0       | 0     | 0            | 0     | 0      | 0       | 165  | 42   | 42   |
